Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality
74.83,82.16,1.251,13.567,10.504,12.483,251.495,8.270,5.629,0.772,3.722,3.038,0.070,6245,2
3.76,1.34,8.427,8.481,13.856,2.192,261.880,13.697,378.001,0.424,3.403,0.005,0.044,1324,2
78.97,1.65,0.945,6.369,13.905,11.675,262.623,14.078,0.113,0.476,2.175,0.006,0.071,734,2
64.00,12.32,14.799,10.036,10.166,4.876,253.364,14.081,8.309,0.267,2.327,0.003,0.048,1231,2
4.97,81.75,2.161,14.753,12.017,4.955,289.612,397.663,7.203,0.810,2.236,0.004,0.027,645,2
6.43,84.36,9.609,12.451,10.979,9.963,237.999,8.093,5.464,0.919,3.114,0.000,0.063,7148,2
10.09,90.29,2.628,10.424,12.983,4.970,236.756,363.191,2.477,0.727,3.925,0.009,0.072,6665,2
63.78,8.54,11.642,10.902,13.281,3.577,211.411,7.810,5.835,0.992,3.939,0.006,0.050,6989,2
0.88,5.24,1.721,8.594,12.503,0.228,294.848,3.041,286.099,0.206,4.111,4.216,0.068,1313,2
9.38,11.70,1.317,7.493,11.277,12.822,292.189,17.361,304.573,0.752,4.990,0.002,0.055,1323,2
2.82,10.01,0.842,11.910,11.153,0.286,245.163,15.581,393.018,0.217,2.220,0.001,0.035,1988,2
72.76,0.18,10.964,10.559,11.245,1.378,224.230,2.173,7.381,0.302,3.404,3.164,0.049,499,2
67.85,94.66,0.974,14.591,12.132,4.514,250.682,15.768,5.099,0.300,2.118,3.472,0.094,6496,2
0.78,10.52,10.409,11.673,11.494,0.288,287.904,336.489,0.399,0.082,3.968,0.006,0.031,7259,2
14.59,85.45,1.231,13.952,10.394,1.674,241.488,342.719,7.128,0.416,4.112,3.934,0.099,7263,2
0.41,12.22,0.753,13.632,10.994,1.018,271.554,4.828,2.261,0.065,2.340,0.000,0.036,866,2
68.45,86.32,0.728,9.175,10.882,13.342,243.606,13.680,341.986,0.381,3.751,4.268,0.051,1085,2
65.26,13.21,1.220,12.815,10.409,11.698,264.742,343.152,389.175,0.530,4.758,3.104,0.052,6493,2
80.05,0.05,2.772,9.819,13.202,10.441,235.776,1.920,358.991,0.556,4.810,0.007,0.025,6533,2
0.85,93.38,11.107,14.018,11.136,14.077,213.517,395.946,282.873,0.433,3.363,4.828,0.040,7194,2
82.18,12.71,12.109,8.031,14.745,4.608,251.739,8.369,0.940,0.187,4.958,0.007,0.060,6032,2
72.07,90.76,0.636,11.180,10.742,12.427,238.531,366.888,1.494,0.860,4.523,4.974,0.027,610,2
72.27,5.55,13.818,7.242,12.003,14.130,271.132,337.103,259.263,0.872,3.168,3.363,0.086,6408,2
82.77,2.24,2.912,6.904,12.048,5.894,284.027,348.751,4.595,0.099,4.638,0.007,0.057,783,2
6.60,81.67,13.372,9.969,12.973,1.056,251.297,390.466,356.312,0.959,3.809,0.009,0.072,1058,2
69.52,5.57,0.969,12.120,12.116,11.569,214.873,340.248,374.190,0.399,2.133,4.388,0.036,6762,2
78.26,97.17,2.715,9.692,14.517,10.283,204.719,4.287,7.730,0.999,3.219,0.003,0.090,1964,2
84.02,90.40,11.408,8.920,10.045,4.067,287.615,390.511,0.412,0.567,4.455,0.004,0.086,6319,2
5.86,0.54,0.134,14.786,13.379,9.582,262.880,392.653,7.738,0.815,2.989,0.009,0.028,1063,2
63.30,93.30,0.440,12.019,14.693,0.848,264.892,313.147,9.861,0.796,3.396,0.000,0.033,281,2
1.73,95.56,13.648,8.270,13.179,10.232,266.710,343.854,9.684,0.683,4.876,3.748,0.038,6677,2
2.73,12.31,0.593,12.013,12.870,2.708,206.908,307.517,3.580,0.144,2.433,3.923,0.098,1728,2
71.71,86.44,11.011,7.837,12.548,2.949,243.975,11.251,386.991,0.172,2.024,4.364,0.079,7181,2
69.34,86.47,2.335,9.946,11.917,10.377,235.178,355.862,2.677,0.465,3.892,4.129,0.042,403,2
12.59,90.30,9.792,13.604,14.343,12.346,225.940,311.192,2.323,0.794,4.565,3.181,0.051,1991,2
78.83,10.97,13.733,6.071,13.072,10.253,204.640,8.431,374.809,0.304,3.815,3.110,0.069,79,2
7.06,99.80,10.476,11.344,13.505,14.082,287.959,0.705,7.222,0.364,2.684,3.525,0.067,6388,2
10.80,98.41,8.905,14.444,14.775,14.851,234.004,341.719,6.414,0.924,4.899,0.006,0.039,6413,2
81.92,93.75,14.053,8.583,11.142,10.202,220.591,310.988,6.722,0.507,3.891,0.000,0.043,7445,2
10.01,90.88,2.870,13.474,13.638,13.150,208.283,3.052,374.582,0.249,2.586,0.004,0.085,6377,2
77.93,11.54,14.248,7.231,10.995,0.428,244.119,19.061,1.802,0.886,4.040,0.000,0.095,1860,2
76.17,6.71,14.468,13.151,12.207,3.659,240.703,356.528,368.675,0.644,2.456,0.004,0.026,1914,2
82.00,8.12,12.987,7.452,11.695,1.910,298.943,9.753,325.986,0.442,2.279,0.007,0.041,800,2
14.84,88.66,0.244,6.308,13.345,1.280,214.598,12.007,353.891,0.953,3.180,0.005,0.024,980,2
4.98,8.99,10.407,8.295,14.912,10.661,284.023,305.158,4.647,0.928,2.204,0.004,0.057,1625,2
76.59,96.96,2.991,12.829,13.349,10.378,232.157,349.840,342.666,0.962,4.306,4.204,0.044,6213,2
7.16,13.61,12.192,14.245,10.701,14.515,250.922,315.101,4.212,0.351,2.673,4.693,0.051,7425,2
71.36,88.52,11.046,8.697,12.304,10.792,231.478,371.438,2.247,0.535,4.731,0.009,0.044,410,2
2.85,91.92,12.986,6.186,10.114,3.715,200.790,12.358,8.918,0.105,2.660,4.870,0.022,1575,2
5.97,94.33,0.422,12.172,11.824,9.814,273.036,12.427,0.018,0.640,3.601,3.186,0.028,1990,2
69.82,84.08,1.738,14.780,11.665,2.311,213.033,2.501,7.133,0.296,3.031,4.707,0.066,361,2
5.51,94.41,13.449,8.278,14.636,10.384,212.353,10.412,389.894,0.347,3.493,4.819,0.053,1556,2
68.77,92.67,12.984,9.376,11.591,0.295,292.695,8.125,1.502,0.137,2.832,0.004,0.038,1158,2
3.09,12.43,2.128,12.823,13.173,12.146,251.479,18.347,398.157,0.185,2.453,3.509,0.050,6309,2
