Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality
67.45,10.13,0.208,7.474,10.181,4.752,218.365,300.125,337.178,0.286,4.355,0.006,0.067,6070,2
64.63,94.02,11.434,10.860,14.861,3.085,273.940,8.427,363.661,0.096,2.183,0.005,0.023,251,2
65.12,90.65,12.431,12.810,12.320,9.649,220.813,11.726,309.371,0.975,4.902,0.007,0.065,7219,2
1.64,0.07,10.964,8.508,12.955,4.820,266.572,6.628,8.180,0.885,3.572,3.174,0.026,1230,2
64.86,2.12,1.362,13.335,13.603,10.244,252.108,339.892,253.997,0.802,4.656,3.855,0.061,1035,2
3.01,10.47,12.704,12.725,10.059,12.713,279.752,362.552,274.777,0.671,3.467,0.006,0.071,7190,2
70.60,4.41,14.786,10.123,14.151,10.474,240.197,17.792,265.835,0.171,4.764,4.753,0.098,6691,2
80.86,96.61,0.716,10.502,13.137,1.490,296.026,16.102,289.474,0.470,2.963,0.002,0.031,416,2
81.20,11.52,2.211,7.465,14.984,0.048,244.920,7.333,263.256,0.053,2.509,3.223,0.064,7460,2
1.10,10.59,8.637,14.713,10.278,0.004,269.682,322.391,280.793,0.652,4.640,0.009,0.035,923,2
13.83,92.04,1.994,6.833,11.611,13.653,205.487,389.774,5.794,0.668,3.343,4.020,0.024,906,2
12.26,9.29,1.806,14.244,14.925,5.113,250.857,19.070,399.321,0.211,4.555,0.004,0.082,7272,2
3.72,81.15,10.363,6.990,13.895,4.244,263.449,374.351,316.208,0.927,2.454,4.551,0.078,81,2
75.79,97.40,10.910,12.896,13.604,13.345,229.742,354.382,260.144,0.200,2.177,0.003,0.076,987,2
60.66,87.80,0.551,10.407,13.680,4.806,249.681,18.972,3.115,0.605,3.030,3.118,0.040,6956,2
10.87,4.13,1.614,14.542,10.537,1.865,286.284,16.337,293.532,0.698,3.041,0.004,0.060,7454,2
83.63,98.83,0.527,9.781,14.377,2.856,240.949,4.978,4.776,0.909,2.177,3.417,0.053,7219,2
62.16,95.23,9.979,7.860,14.338,12.995,248.218,1.798,265.701,0.688,2.732,0.004,0.088,1269,2
80.50,9.71,14.300,11.895,10.307,0.066,279.894,398.797,3.071,0.581,4.841,3.825,0.078,7355,2
3.80,86.07,2.668,13.354,13.876,5.535,205.103,320.587,289.847,0.074,2.228,4.860,0.048,1332,2
64.69,8.46,1.408,14.250,12.160,14.547,290.539,15.541,2.189,0.799,3.558,0.010,0.029,1981,2
32.85,17.55,6.0970,3.7325,0.8426,9.1231,175.9188,49.8369,14.0297,0.0342,0.4736,0.0262,0.0170,2159,1
34.79,26.61,5.9427,2.1574,8.2415,9.0707,30.5195,68.6065,14.1077,0.0494,1.5442,2.1052,0.0166,5192,1
33.85,21.81,5.3705,4.1293,4.9554,9.2757,49.5638,242.9544,151.2552,0.0473,1.9797,2.2831,0.0130,2889,1
34.39,21.54,7.7725,3.1201,2.3436,6.2454,25.3594,39.7602,135.6167,0.0268,1.0052,2.8759,0.0159,5825,1
19.99,15.25,5.5463,4.1475,2.0068,6.2646,179.4395,43.2578,233.6191,0.0307,1.4504,0.0192,0.0156,5168,1
32.36,20.96,5.9056,2.7380,8.2188,9.4364,32.2283,197.4882,20.4776,0.0344,0.7132,2.5020,0.0059,5575,1
19.56,25.43,6.1554,5.8742,9.1669,6.1212,44.2923,293.3338,22.1003,0.0474,1.5573,2.9575,0.0101,2978,1
16.19,26.76,5.9836,3.3633,8.1021,9.2787,176.1343,24.1973,249.1615,0.0290,0.3271,2.4961,0.0136,5112,1
19.63,25.30,7.8303,5.0683,9.6219,6.1484,38.1787,273.7136,208.4231,0.0256,0.1053,2.7186,0.0093,5406,1
32.51,28.43,5.6352,5.9621,0.7643,6.2698,103.7368,202.7857,23.6300,0.0468,0.0654,0.0253,0.0035,5869,1
16.80,21.09,7.5442,4.1852,1.2828,9.2233,171.1441,168.4817,21.3297,0.0382,0.1757,0.0232,0.0093,5518,1
30.68,22.30,7.0084,2.8196,8.3956,9.2021,44.3537,278.8972,197.3170,0.0417,0.5018,2.5511,0.0114,2369,1
30.10,28.70,5.6664,3.0070,2.1890,9.0612,106.2444,279.1210,242.5048,0.0295,1.4752,0.0126,0.0038,2169,1
32.07,23.57,7.4203,5.6906,4.1588,9.3087,49.6632,41.7493,21.2504,0.0467,1.9435,0.0216,0.0128,5920,1
30.33,25.78,7.7670,5.8405,2.5605,9.1741,176.3704,154.2639,122.3407,0.0290,0.3178,2.9811,0.0017,4587,1
17.99,24.64,7.3714,2.8928,0.2703,9.0552,43.4589,50.7296,244.5805,0.0414,1.8666,2.2235,0.0097,5683,1
16.85,23.86,6.7675,5.5354,1.3158,6.3066,44.1312,164.5789,210.6111,0.0426,0.6623,0.0137,0.0001,4863,1
19.52,26.14,5.7166,2.0997,9.1559,9.1115,37.8367,71.9313,12.5251,0.0456,0.8679,2.0685,0.0128,2558,1
32.81,26.72,5.6029,4.9364,8.2039,9.3885,121.2232,28.1790,223.6401,0.0255,0.0882,2.6856,0.0018,4894,1
31.65,18.25,5.3886,4.0261,4.7070,6.4308,169.8962,283.4429,20.2342,0.0400,0.0728,2.5263,0.0007,5122,1
18.59,29.42,5.5114,5.1602,9.8248,9.4874,137.0625,58.6700,20.4287,0.0362,1.2000,2.2701,0.0109,2045,1
20.09,72.51,4.76,1.01,7.35,7.88,79.47,144.10,54.69,0.000,0.007,0.100,0.0196,3821,0
24.10,69.41,3.00,1.82,6.64,8.61,58.01,132.69,55.18,0.003,0.014,0.355,0.0195,4315,0
21.41,39.28,4.00,1.28,6.42,7.28,52.48,107.48,64.19,0.016,0.013,1.844,0.0192,3498,0
25.33,49.74,4.51,1.11,6.00,7.80,40.29,78.97,38.11,0.017,0.002,0.784,0.0193,3556,0
25.58,42.98,4.35,1.42,5.84,6.99,87.39,147.00,56.18,0.025,0.001,1.052,0.0195,4179,0
26.93,59.94,3.36,1.16,7.55,6.53,66.84,86.69,25.34,0.022,0.009,0.657,0.0193,3750,0
28.76,63.39,4.99,1.06,5.63,8.87,94.09,85.53,93.66,0.001,0.019,1.080,0.0192,3136,0
20.20,33.82,4.78,1.77,5.41,7.83,81.65,128.63,57.37,0.018,0.002,1.373,0.0199,3505,0
26.87,49.63,4.39,1.86,6.69,6.75,85.65,145.92,80.23,0.002,0.000,0.683,0.0198,3094,0
29.86,41.58,3.20,1.79,7.06,7.63,71.25,130.87,32.52,0.020,0.014,0.435,0.0197,3525,0
29.86,77.31,4.74,1.30,6.09,8.37,75.88,117.09,31.30,0.002,0.015,1.338,0.0195,4057,0
24.56,47.97,4.82,1.86,7.06,7.83,99.02,85.90,83.69,0.016,0.005,1.891,0.0191,3971,0
23.48,44.54,4.81,1.73,6.03,8.82,26.09,122.56,94.24,0.016,0.018,0.295,0.0190,3215,0
29.83,34.80,4.13,1.06,7.49,7.49,42.30,122.07,42.20,0.018,0.012,0.635,0.0193,3034,0
24.86,62.25,3.82,1.67,6.98,6.90,49.82,138.62,58.94,0.012,0.012,1.495,0.0192,3283,0
23.15,54.81,3.20,1.07,6.07,8.62,43.55,142.71,40.54,0.003,0.008,1.207,0.0196,3753,0
23.81,43.32,4.09,1.10,5.24,6.91,59.98,84.10,33.02,0.020,0.002,0.133,0.0192,3310,0
20.18,66.64,3.88,1.52,6.80,8.64,37.87,80.97,31.45,0.020,0.015,1.237,0.0198,4254,0
25.04,77.46,4.26,1.73,7.69,8.61,96.02,115.62,99.47,0.016,0.017,0.517,0.0192,4009,0
21.27,78.29,3.43,1.28,7.86,7.71,52.17,138.26,58.06,0.008,0.007,0.730,0.0195,3025,0
23.05,71.42,4.28,1.98,6.29,8.43,31.43,79.12,44.05,0.013,0.017,0.075,0.0193,3724,0
22.56,39.49,4.94,1.58,7.77,8.61,97.57,134.82,79.71,0.003,0.016,1.181,0.0198,3178,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
